                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.592,                 5.0434,                 4.6765,                 2.1977,                0.03387,                0.04167,                0.00682,                0.00624,                0.10454,                0.08333,                0.01699,                0.01022,                  3.106,                 4.6025,                 5.5737,                 2.3072,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.2674,                 3.6528,                  4.684,                 1.9703,                0.06686,                0.16667,                0.01774,                0.00438,                0.08386,                0.20833,                0.03514,                0.00872,                 2.9448,                 3.8639,                 19.072,                 2.4587,             0.00017822,             0.00017822,             0.00017822
                      3,                 2.4924,                  3.267,                 3.7367,                 2.0138,                0.08694,                0.16667,                0.02683,                0.01014,                0.09797,                0.08333,                0.02609,                0.01468,                 3.0574,                 4.3287,                 8.1429,                  2.559,             0.00027445,             0.00027445,             0.00027445
                      4,                 2.3927,                 3.1863,                 3.6663,                 1.9564,                0.01845,                0.20833,                0.00808,                0.00381,                0.02214,                   0.25,                0.00823,                0.00509,                 2.8309,                 4.5881,                 150.58,                  2.746,             0.00036871,             0.00036871,             0.00036871
                      5,                 2.1137,                 2.5357,                 3.2668,                 1.8692,                0.00647,                0.16667,                0.00432,                0.00112,                0.00971,                   0.25,                0.00412,                0.00159,                 3.2773,                 6.6664,                 376.98,                 3.9261,             0.00046099,             0.00046099,             0.00046099
                      6,                 2.0834,                 2.9209,                 2.9598,                 1.7697,                0.01042,                0.20833,                0.00658,                0.00239,                 0.0125,                   0.25,                0.00496,                0.00222,                  2.913,                 8.5535,                 245.37,                 3.7431,             0.00055128,             0.00055128,             0.00055128
                      7,                 2.0785,                 2.6757,                 2.8655,                 1.8147,                0.03673,                   0.25,                0.02155,                0.00584,                0.05509,                  0.375,                0.04571,                0.00975,                 2.9611,                 5.7305,                   52.5,                 3.1393,              0.0006396,              0.0006396,              0.0006396
                      8,                 2.3089,                 2.5201,                 2.7276,                 1.9046,                0.01102,                   0.25,                0.00668,                0.00175,                0.01374,                   0.25,                0.00743,                0.00195,                 3.2474,                 6.2141,                 102.75,                 3.5469,             0.00072593,             0.00072593,             0.00072593
                      9,                 2.3815,                 2.6817,                 2.8914,                 1.9839,                0.00682,                   0.25,                0.00311,                0.00091,                0.00525,                0.16667,                0.00144,                0.00033,                 3.7832,                 25.663,                 210.04,                 4.8598,             0.00081029,             0.00081029,             0.00081029
                     10,                 2.2969,                 2.7948,                 2.6507,                 1.9811,                0.00186,                  0.125,                0.00111,                0.00041,                0.00038,                0.04167,                0.00019,                  4e-05,                  3.922,                 138.35,                    inf,                 10.003,             0.00089266,             0.00089266,             0.00089266
                     11,                 2.5332,                   3.01,                 3.0657,                 2.1329,                0.00067,                0.16667,                 0.0005,                0.00019,                      0,                      0,                      0,                      0,                 4.2655,                  394.6,                    inf,                 35.238,             0.00097305,             0.00097305,             0.00097305
                     12,                 2.5749,                 2.7245,                 2.8465,                  2.182,                0.00082,                  0.125,                0.00093,                0.00033,                      0,                      0,                      0,                      0,                 4.5036,                  160.9,                    inf,                 22.056,              0.0010515,              0.0010515,              0.0010515
                     13,                  2.382,                 3.1046,                 2.8009,                 2.0946,                0.00048,                0.08333,                 0.0002,                  6e-05,                      0,                      0,                      0,                      0,                 4.3817,                 59.718,                    inf,                 11.744,              0.0011279,              0.0011279,              0.0011279
                     14,                 2.3449,                 2.7386,                 2.7268,                 2.1143,                0.00019,                0.04167,                 0.0001,                  3e-05,                      0,                      0,                      0,                      0,                  4.288,                 375.99,                    inf,                 28.544,              0.0012023,              0.0012023,              0.0012023
                     15,                 2.3855,                 2.7255,                 2.9259,                 2.0455,                0.00034,                0.08333,                 0.0002,                  5e-05,                      0,                      0,                      0,                      0,                 4.4114,                    nan,                    inf,                 368.33,              0.0012748,              0.0012748,              0.0012748
                     16,                 2.4954,                 3.1835,                 2.9045,                 2.1676,                0.00067,                0.16667,                0.00064,                0.00016,                      0,                      0,                      0,                      0,                 4.5472,                 6088.4,                    inf,                 211.69,              0.0013453,              0.0013453,              0.0013453
                     17,                 2.6239,                 2.6476,                 2.7718,                 2.1035,                0.00018,                0.04167,                0.00011,                  1e-05,                      0,                      0,                      0,                      0,                 4.5111,                 6640.3,                    inf,                  52.87,              0.0014138,              0.0014138,              0.0014138
